chronic,chronic_condition,chronic_time,total_time_homeless_life,times_homeless_3yrs,times_homeless_past_year,current_stint_duration,current_stint_duration_detailed,data_table
2,2,1,,2 to 3 Times,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2555,unsheltered_2017
2,2,1,,1 Time,2 to 3 times,6-11 Months,2555,unsheltered_2017
2,2,1,,4 or More Times,4 or more times,6-11 Months,2555,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2676.66666,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,4 or More Times,unknown,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,2920,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
1,1,1,,4 or More Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
2,2,1,,,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,4 or More Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,2 to 3 Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
0,0,1,,4 or More Times,4 or more times,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,2 to 3 times,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,2 to 3 times,6-11 Months,2920,unsheltered_2017
0,0,1,,4 or More Times,4 or more times,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,4 or More Times,4 or more times,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,2 to 3 times,6-11 Months,2920,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,2 to 3 Times,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,4 or More Times,4 or more times,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,4 or More Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,4 or More Times,2 to 3 times,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,2920,unsheltered_2017
2,2,1,,2 to 3 Times,4 or more times,6-11 Months,3001.87179,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3228.42948,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3285,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,4 or more times,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3285,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,3285,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,4 or More Times,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,4 or More Times,4 or more times,6-11 Months,3285,unsheltered_2017
2,2,1,,4 or More Times,4 or more times,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,2 to 3 Times,4 or more times,6-11 Months,3285,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,3285,unsheltered_2017
2,2,1,,2 to 3 Times,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3285,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
1,1,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
1,1,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
2,2,1,,2 to 3 Times,4 or more times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
2,2,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,2 to 3 times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,4 or more times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,4 or More Times,2 to 3 times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,2 to 3 Times,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,,unknown,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,,2 to 3 times,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,4 or More Times,4 or more times,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
0,0,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,,4 or more times,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
2,2,1,,1 Time,1 time,6-11 Months,3650,unsheltered_2017
